"Total energy consumption in the transportation sector, billion Btu",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
AK,27139.0,31895.0,34182.0,32387.0,32246.0,34379.0,36233.0,43862.0,47177.0,56517.0,76386.0,85018.0,83425.0,71354.0,76803.0,79665.0,89123.0,94045.0,97936.0,85842.0,89804.0,101238.0,102239.0,115944.0,142997.0,153931.0,150698.0,133896.0,150456.0,173382.0,168892.0,156413.0,151927.0,154297.0,157266.0,173607.0,167528.0,188588.0,192174.0,207434.0,219733.0,205464.0,209351.0,219252.0,265820.0,263684.0,265654.0,249874.0,214855.0,189767.0,193249.0,184846.0,167929.0,151923.0,155043.0,162888.0,153572.0,155868.0,163804.0,164258.0,164595.0
AL,176015.0,172023.0,179802.0,189395.0,190545.0,200727.0,206854.0,216031.0,242554.0,255625.0,268489.0,281247.0,300827.0,327548.0,350726.0,363127.0,373155.0,395543.0,405416.0,353042.0,349881.0,342116.0,333176.0,324451.0,337698.0,334813.0,349194.0,374883.0,377985.0,401324.0,397799.0,406124.0,417482.0,413632.0,431784.0,454692.0,444370.0,439699.0,447984.0,453914.0,472549.0,445444.0,472526.0,458056.0,493167.0,489519.0,496081.0,499523.0,467593.0,459056.0,478216.0,478191.0,472022.0,466359.0,465284.0,480784.0,504527.0,498739.0,488594.0,500768.0,497755.0
AR,104652.0,114214.0,116715.0,123586.0,130214.0,129593.0,136348.0,139183.0,153822.0,159784.0,166549.0,173379.0,193085.0,209852.0,210118.0,209528.0,216054.0,222603.0,229577.0,200014.0,204275.0,208967.0,208325.0,195411.0,207483.0,203444.0,207724.0,216907.0,226684.0,233710.0,228101.0,229427.0,227667.0,238191.0,255166.0,260424.0,265553.0,273172.0,275696.0,293044.0,293838.0,277440.0,285354.0,285259.0,288208.0,288737.0,288760.0,292703.0,285202.0,285162.0,290131.0,287138.0,277918.0,276347.0,280150.0,276984.0,283503.0,285148.0,286192.0,288865.0,271075.0
AZ,116689.0,121239.0,129736.0,136740.0,143720.0,139441.0,148689.0,159735.0,183623.0,192910.0,194132.0,204293.0,225168.0,243872.0,233258.0,230139.0,235052.0,253262.0,267033.0,274217.0,265931.0,269191.0,261440.0,263390.0,279869.0,293447.0,299713.0,312326.0,322840.0,322219.0,325563.0,332408.0,336940.0,352581.0,366258.0,372801.0,394105.0,394605.0,424601.0,447923.0,459904.0,475183.0,485241.0,500087.0,510232.0,532787.0,549475.0,541658.0,505233.0,476281.0,516376.0,513043.0,502603.0,510887.0,516809.0,526892.0,539916.0,543230.0,554065.0,569796.0,507885.0
CA,1224448.0,1292718.0,1316805.0,1354256.0,1421236.0,1491493.0,1592738.0,1654402.0,1779333.0,1829888.0,1832707.0,1909144.0,1932085.0,1987135.0,1899639.0,1955901.0,2065541.0,2207003.0,2373098.0,2354473.0,2363837.0,2345832.0,2230899.0,2253957.0,2373953.0,2364497.0,2447497.0,2578470.0,2730174.0,2817092.0,2834517.0,2691409.0,2681192.0,2630793.0,2752695.0,2817126.0,2866143.0,2799926.0,2807883.0,2869691.0,3017945.0,2967388.0,3130834.0,3041509.0,3194101.0,3280275.0,3328715.0,3355466.0,3145159.0,3063147.0,2934185.0,2828580.0,2773267.0,2777173.0,2798542.0,2865537.0,2970922.0,3049442.0,3062408.0,3059749.0,2355476.0
CO,104450.0,114878.0,122860.0,129258.0,133723.0,138618.0,147575.0,154378.0,172368.0,182623.0,195193.0,206248.0,224073.0,234426.0,231020.0,237340.0,250996.0,262260.0,279228.0,269764.0,251120.0,249246.0,259137.0,255521.0,266929.0,277566.0,278417.0,281120.0,272773.0,266101.0,271483.0,273879.0,278016.0,303181.0,308187.0,319506.0,328228.0,326350.0,340751.0,361725.0,366112.0,386390.0,383293.0,378054.0,416506.0,423029.0,432161.0,441970.0,425042.0,414341.0,421169.0,414063.0,410843.0,411940.0,424103.0,421452.0,430222.0,434641.0,449492.0,460280.0,378289.0
CT,116898.0,125496.0,130768.0,134750.0,137397.0,140533.0,150121.0,155282.0,168490.0,174636.0,182566.0,184357.0,194609.0,201251.0,198339.0,196470.0,201295.0,204071.0,205676.0,194654.0,185174.0,181361.0,186080.0,187348.0,195062.0,196759.0,200195.0,209097.0,216609.0,218201.0,205529.0,204102.0,205609.0,206060.0,205590.0,201738.0,213178.0,213989.0,216761.0,235201.0,227972.0,237677.0,236682.0,248599.0,284567.0,262559.0,256729.0,257284.0,242787.0,239060.0,239165.0,234687.0,228721.0,225149.0,225365.0,227198.0,229142.0,232069.0,237351.0,233235.0,196110.0
DC,28823.0,29581.0,29525.0,29602.0,31091.0,33820.0,33780.0,32459.0,32904.0,32675.0,32848.0,33280.0,33608.0,38665.0,39736.0,37069.0,38019.0,37639.0,35172.0,30307.0,27391.0,29319.0,37791.0,29066.0,28194.0,28202.0,30415.0,28683.0,29823.0,29281.0,27450.0,27452.0,27765.0,28147.0,27395.0,27211.0,26309.0,26790.0,26047.0,26684.0,27860.0,25953.0,24665.0,25449.0,27021.0,23517.0,21479.0,21279.0,18804.0,19689.0,19202.0,21211.0,19112.0,19420.0,20902.0,20276.0,21250.0,18441.0,20300.0,21802.0,16806.0
DE,43735.0,44020.0,41960.0,42957.0,43653.0,43432.0,44193.0,45334.0,51755.0,52631.0,50326.0,50851.0,53261.0,56942.0,56886.0,55048.0,57596.0,56927.0,54928.0,52434.0,53979.0,51388.0,49564.0,55479.0,57524.0,56930.0,60237.0,65275.0,64373.0,65685.0,62955.0,70337.0,65057.0,67786.0,63155.0,59981.0,66267.0,64816.0,65432.0,67935.0,70445.0,65428.0,68665.0,67453.0,68851.0,72656.0,74414.0,74852.0,71202.0,68879.0,80359.0,73594.0,72384.0,68338.0,69046.0,72576.0,75656.0,79665.0,83606.0,86684.0,72901.0
FL,348001.0,358850.0,407087.0,415833.0,432389.0,456712.0,473137.0,495399.0,548917.0,582377.0,608352.0,641555.0,706248.0,772004.0,738593.0,747689.0,777288.0,833098.0,876871.0,932217.0,950588.0,955122.0,937880.0,941159.0,926847.0,957710.0,1008847.0,1066924.0,1129029.0,1139593.0,1137421.0,1077908.0,1113436.0,1100343.0,1179540.0,1211339.0,1221305.0,1264807.0,1284397.0,1325493.0,1404075.0,1383851.0,1415516.0,1398524.0,1546545.0,1590010.0,1622062.0,1596523.0,1496006.0,1418422.0,1555767.0,1532077.0,1510229.0,1535328.0,1553861.0,1611596.0,1648162.0,1686912.0,1770703.0,1743393.0,1417327.0
GA,208600.0,208150.0,225398.0,239176.0,249133.0,257459.0,282715.0,317508.0,352836.0,376949.0,400637.0,432077.0,461433.0,508272.0,488267.0,487288.0,508176.0,528643.0,550247.0,569714.0,549575.0,541833.0,541879.0,560980.0,583690.0,590637.0,621820.0,662463.0,694440.0,674415.0,682487.0,665004.0,668801.0,741546.0,753123.0,789874.0,834752.0,802997.0,830768.0,859994.0,859663.0,858321.0,860638.0,887895.0,924955.0,965803.0,949573.0,925051.0,865368.0,928594.0,988043.0,969345.0,912808.0,936912.0,905089.0,951088.0,912738.0,966191.0,943511.0,934557.0,823696.0
HI,61778.0,74032.0,66104.0,69466.0,74849.0,78979.0,91537.0,105098.0,122002.0,125141.0,125344.0,138833.0,136476.0,140854.0,128660.0,130543.0,131684.0,141346.0,144630.0,156359.0,146713.0,124102.0,102196.0,117875.0,129351.0,142888.0,127072.0,124138.0,140944.0,154497.0,154545.0,151201.0,144127.0,130086.0,139865.0,138041.0,121533.0,117181.0,114518.0,122989.0,125096.0,131920.0,140060.0,162799.0,171915.0,179128.0,181362.0,194442.0,136507.0,132829.0,156657.0,161283.0,161462.0,165038.0,158144.0,161862.0,163304.0,170882.0,173129.0,174189.0,109047.0
IA,151001.0,147507.0,153878.0,159082.0,161376.0,161744.0,171703.0,183403.0,196338.0,206896.0,210247.0,230011.0,238881.0,256476.0,246911.0,248508.0,257384.0,261075.0,260059.0,259122.0,238037.0,226744.0,231164.0,229299.0,228259.0,222333.0,218170.0,228123.0,235332.0,237178.0,235625.0,228184.0,226937.0,231808.0,247614.0,256890.0,272661.0,266370.0,275603.0,274154.0,270870.0,269727.0,278502.0,281575.0,296307.0,300758.0,307445.0,313014.0,305878.0,298572.0,304872.0,307480.0,291815.0,296999.0,307887.0,299619.0,316254.0,301313.0,304217.0,304596.0,277680.0
ID,42448.0,41866.0,44468.0,43894.0,45479.0,49550.0,53667.0,54383.0,56019.0,60261.0,65806.0,68285.0,73323.0,75193.0,76433.0,79098.0,84321.0,88129.0,93007.0,99686.0,83315.0,76720.0,75113.0,74453.0,77642.0,79813.0,80510.0,82283.0,84336.0,88615.0,90874.0,88787.0,89674.0,100692.0,103105.0,110452.0,112208.0,114869.0,117181.0,123440.0,124232.0,121405.0,123256.0,117135.0,122155.0,123131.0,131164.0,135469.0,124004.0,122803.0,137520.0,131633.0,132913.0,137160.0,139591.0,153664.0,158969.0,161070.0,163533.0,169068.0,158190.0
IL,504426.0,508786.0,520939.0,555651.0,568926.0,597583.0,630804.0,677664.0,730200.0,758771.0,790952.0,810200.0,884876.0,923453.0,881589.0,883956.0,919702.0,945704.0,976087.0,930049.0,821458.0,784427.0,767689.0,787729.0,707471.0,733119.0,725802.0,735374.0,787563.0,802325.0,788227.0,759400.0,773491.0,801109.0,781820.0,799894.0,824322.0,833959.0,851814.0,939315.0,967818.0,938602.0,907505.0,953375.0,1004947.0,1109668.0,1058254.0,1060569.0,1013271.0,983720.0,981491.0,972081.0,940532.0,959306.0,985321.0,1021267.0,1019765.0,1024309.0,1026119.0,996826.0,802605.0
IN,265284.0,262745.0,277217.0,284318.0,289382.0,300042.0,316147.0,326392.0,342193.0,359239.0,377796.0,391294.0,424550.0,441971.0,430689.0,429976.0,445748.0,453325.0,463957.0,470907.0,441657.0,446984.0,432620.0,439574.0,513196.0,520787.0,552469.0,578042.0,562368.0,577378.0,581671.0,567839.0,558794.0,580696.0,603534.0,621793.0,607597.0,608935.0,613596.0,629856.0,658504.0,603613.0,648275.0,671909.0,639334.0,644040.0,656664.0,641109.0,601725.0,581204.0,588507.0,580710.0,568948.0,596071.0,608470.0,610815.0,608492.0,583898.0,573741.0,571806.0,525753.0
KS,172858.0,178233.0,176565.0,193960.0,178331.0,197148.0,209458.0,214514.0,228465.0,236882.0,250710.0,256558.0,273146.0,269163.0,271331.0,269148.0,273595.0,268827.0,286644.0,288878.0,279218.0,266030.0,255159.0,246221.0,257072.0,268172.0,273068.0,278352.0,294398.0,285614.0,280304.0,260471.0,255948.0,260226.0,247301.0,274175.0,273318.0,271115.0,270026.0,285477.0,269988.0,251278.0,260526.0,285806.0,273226.0,258189.0,272773.0,279483.0,276308.0,285206.0,274865.0,266782.0,264776.0,281889.0,302091.0,278582.0,274340.0,266793.0,283239.0,289236.0,258253.0
KY,153635.0,153410.0,169687.0,180892.0,187832.0,191777.0,205416.0,214533.0,232321.0,247884.0,261341.0,265443.0,284282.0,297055.0,287068.0,288098.0,302855.0,309564.0,333814.0,342198.0,324017.0,323231.0,318534.0,332803.0,337644.0,323387.0,344232.0,358877.0,386223.0,404451.0,379595.0,378096.0,393921.0,407849.0,405793.0,421760.0,396465.0,427334.0,424989.0,440965.0,441204.0,447996.0,463165.0,448304.0,484328.0,475848.0,472847.0,493949.0,458383.0,465340.0,470109.0,466113.0,450682.0,449764.0,457405.0,463845.0,464552.0,472363.0,495912.0,498369.0,465347.0
LA,256944.0,253709.0,255773.0,267091.0,283681.0,311121.0,318865.0,340713.0,358477.0,385716.0,392151.0,390660.0,425494.0,474451.0,509274.0,511108.0,546644.0,585309.0,588509.0,581423.0,646701.0,661774.0,580654.0,599636.0,598755.0,585795.0,661328.0,652242.0,694276.0,693330.0,690571.0,725547.0,725753.0,723701.0,764489.0,764491.0,834585.0,801668.0,781161.0,776293.0,854201.0,753070.0,775112.0,771859.0,756504.0,716731.0,770758.0,710076.0,673737.0,667267.0,613388.0,628153.0,570486.0,554603.0,533698.0,540224.0,571471.0,615985.0,582095.0,623459.0,606487.0
MA,220223.0,232639.0,242221.0,252038.0,254929.0,268600.0,271133.0,290677.0,313736.0,324262.0,348866.0,362542.0,379915.0,391349.0,371093.0,369400.0,380724.0,385290.0,386801.0,385655.0,358305.0,359128.0,362384.0,362472.0,370142.0,381532.0,389179.0,403559.0,420664.0,420228.0,406751.0,389342.0,386663.0,391048.0,394376.0,401591.0,419336.0,425617.0,426001.0,437786.0,452623.0,446665.0,448360.0,447348.0,473427.0,484827.0,478091.0,485796.0,478871.0,442953.0,457425.0,457099.0,448417.0,466646.0,450724.0,464638.0,475350.0,469406.0,476609.0,478582.0,359912.0
MD,172937.0,172669.0,198195.0,199643.0,207162.0,217118.0,229080.0,225512.0,248291.0,255378.0,273132.0,273569.0,289740.0,303286.0,296987.0,297309.0,310253.0,321158.0,325821.0,318501.0,318826.0,323669.0,312847.0,305649.0,308196.0,317632.0,325874.0,338551.0,351166.0,360646.0,331362.0,336651.0,344087.0,342256.0,343278.0,348983.0,357970.0,368616.0,379129.0,399984.0,402664.0,404638.0,401249.0,416974.0,439335.0,457238.0,463513.0,457442.0,441273.0,457440.0,459632.0,447170.0,446430.0,450914.0,445608.0,457666.0,445744.0,444750.0,461897.0,465861.0,386708.0
ME,66698.0,70106.0,70398.0,72081.0,71079.0,68812.0,75656.0,73728.0,80026.0,81208.0,87633.0,93187.0,108008.0,111181.0,96675.0,92405.0,97198.0,98683.0,98767.0,93555.0,83348.0,82477.0,85807.0,83798.0,89155.0,94003.0,100742.0,108321.0,122448.0,110119.0,115386.0,105823.0,104061.0,105456.0,107390.0,101923.0,105327.0,110610.0,107844.0,111710.0,119837.0,107045.0,121967.0,130781.0,121265.0,130726.0,130780.0,125114.0,116466.0,122086.0,118053.0,117947.0,112560.0,125969.0,127266.0,127697.0,127693.0,120624.0,107302.0,106894.0,97960.0
MI,387291.0,388670.0,405877.0,429765.0,450804.0,467377.0,501020.0,526853.0,574018.0,606128.0,593490.0,607502.0,660210.0,688431.0,665594.0,660805.0,696664.0,712202.0,724044.0,690809.0,620136.0,600307.0,567289.0,577010.0,601213.0,614673.0,634968.0,667095.0,692249.0,685553.0,683927.0,695925.0,701060.0,738727.0,741775.0,760951.0,767783.0,782990.0,801137.0,837784.0,815945.0,802852.0,824677.0,795746.0,805720.0,803042.0,798193.0,789282.0,740516.0,723132.0,745587.0,732999.0,721815.0,753176.0,744570.0,766441.0,775534.0,764022.0,787420.0,778444.0,649531.0
MN,181361.0,182477.0,185949.0,194347.0,197456.0,207273.0,221296.0,222770.0,244657.0,260291.0,274085.0,288738.0,302868.0,322903.0,317686.0,319516.0,326930.0,330760.0,348762.0,359554.0,331579.0,317753.0,306687.0,310839.0,340655.0,333044.0,336886.0,334133.0,348749.0,343924.0,339237.0,358208.0,380355.0,401059.0,416902.0,433207.0,443367.0,440457.0,463324.0,495464.0,512778.0,501577.0,511621.0,513789.0,528862.0,532604.0,522963.0,527437.0,502186.0,464316.0,464795.0,454670.0,462541.0,466241.0,468176.0,468446.0,492426.0,495124.0,495865.0,500438.0,404710.0
