"Total energy consumption in the transportation sector, billion Btu",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
MO,253774.0,255857.0,276089.0,282147.0,292306.0,304630.0,305174.0,322431.0,359165.0,370069.0,390887.0,403843.0,423903.0,428118.0,421345.0,424725.0,444349.0,456659.0,468827.0,446792.0,410564.0,399232.0,404843.0,409781.0,420918.0,430001.0,449790.0,459201.0,476640.0,483578.0,477139.0,474217.0,491151.0,505757.0,520029.0,539990.0,566697.0,578792.0,627750.0,620745.0,555307.0,555090.0,570990.0,593183.0,576876.0,590778.0,594797.0,601544.0,574301.0,559845.0,575610.0,563374.0,544295.0,549534.0,558107.0,558859.0,569917.0,565943.0,566183.0,567571.0,511393.0
MS,129284.0,129426.0,141230.0,153210.0,157763.0,161776.0,168991.0,176286.0,198757.0,210252.0,216001.0,228125.0,240855.0,251348.0,246921.0,231074.0,234643.0,248691.0,258179.0,258528.0,260868.0,257914.0,252704.0,241494.0,243198.0,250723.0,269475.0,294124.0,308474.0,288807.0,291495.0,315059.0,327507.0,329774.0,331430.0,335696.0,340820.0,350986.0,352206.0,370166.0,359299.0,348223.0,354481.0,376154.0,363590.0,356810.0,376532.0,372681.0,360998.0,356080.0,336274.0,325684.0,351902.0,319019.0,322877.0,338080.0,344459.0,337035.0,339091.0,347882.0,332204.0
MT,58237.0,61779.0,60378.0,58193.0,57799.0,57766.0,62119.0,56816.0,61677.0,66235.0,68133.0,71279.0,75979.0,83795.0,85511.0,82156.0,88270.0,85826.0,97496.0,91657.0,88911.0,83829.0,80847.0,83360.0,82805.0,81484.0,81233.0,82080.0,84305.0,82922.0,81965.0,81075.0,87906.0,90766.0,94515.0,98500.0,97001.0,99053.0,99527.0,103986.0,105831.0,107460.0,107757.0,102751.0,110574.0,117881.0,120853.0,126822.0,117753.0,112336.0,116888.0,117869.0,114943.0,117398.0,112790.0,111059.0,115784.0,117669.0,118298.0,116241.0,116187.0
NC,231966.0,243042.0,249869.0,264626.0,274217.0,279390.0,295241.0,307337.0,328939.0,348128.0,364046.0,374922.0,399104.0,426207.0,426363.0,423769.0,442970.0,463617.0,483389.0,480386.0,443752.0,448448.0,448510.0,468538.0,478735.0,493450.0,519831.0,544494.0,575667.0,549735.0,537113.0,530406.0,539320.0,559650.0,579176.0,601138.0,638394.0,649491.0,664594.0,679167.0,702536.0,692570.0,700774.0,714571.0,735478.0,748795.0,739578.0,758070.0,756174.0,699863.0,763477.0,743529.0,721585.0,743463.0,755450.0,770583.0,791318.0,799590.0,811512.0,827899.0,736223.0
ND,41695.0,40677.0,46790.0,47514.0,48313.0,47312.0,49886.0,52606.0,57642.0,55525.0,54265.0,58251.0,60802.0,62694.0,60288.0,63051.0,65875.0,70600.0,73158.0,72991.0,72472.0,72620.0,73199.0,69206.0,70543.0,68752.0,66907.0,67693.0,68573.0,67317.0,65276.0,66390.0,69684.0,73265.0,72715.0,72855.0,74552.0,75700.0,66695.0,81957.0,80608.0,87900.0,87666.0,89108.0,92170.0,92118.0,91476.0,103621.0,93261.0,86895.0,100392.0,115374.0,130829.0,136300.0,145534.0,135532.0,122102.0,130578.0,138041.0,145743.0,128348.0
NE,94221.0,96624.0,101163.0,108334.0,107127.0,102134.0,107674.0,116443.0,129823.0,132426.0,139324.0,142822.0,155550.0,163493.0,153188.0,149936.0,158184.0,168375.0,172968.0,156116.0,141002.0,131799.0,135509.0,144332.0,141399.0,141050.0,141525.0,148017.0,161225.0,153416.0,151842.0,148328.0,154150.0,150645.0,153903.0,163477.0,177952.0,180913.0,188843.0,194152.0,172532.0,162383.0,167087.0,172444.0,173762.0,172823.0,174913.0,177131.0,176723.0,176690.0,206500.0,199950.0,193164.0,194010.0,201081.0,200749.0,199231.0,200731.0,209415.0,208750.0,191158.0
NH,33680.0,35122.0,35657.0,36650.0,37780.0,37345.0,40709.0,44988.0,47517.0,48630.0,50712.0,52923.0,55069.0,56834.0,56615.0,56621.0,59805.0,62329.0,63585.0,65314.0,57873.0,56210.0,56118.0,57206.0,62668.0,62955.0,68908.0,74832.0,77318.0,76524.0,72989.0,74312.0,73745.0,75190.0,77427.0,80643.0,82930.0,87422.0,95884.0,99555.0,101593.0,101737.0,113405.0,106262.0,108870.0,103947.0,103935.0,105661.0,103260.0,102856.0,105364.0,102800.0,100326.0,101420.0,102491.0,101737.0,101568.0,102040.0,103195.0,103049.0,89433.0
NJ,337963.0,330040.0,364887.0,383318.0,399704.0,399654.0,417863.0,438642.0,463980.0,465609.0,493154.0,510332.0,556375.0,558985.0,528765.0,519476.0,549119.0,549897.0,568612.0,552362.0,566345.0,614972.0,714750.0,764809.0,797550.0,796824.0,826257.0,840590.0,803708.0,827139.0,798501.0,808065.0,811443.0,770250.0,843820.0,857742.0,827626.0,837099.0,849878.0,848846.0,905851.0,881412.0,888669.0,869523.0,901115.0,974228.0,977700.0,1028119.0,1034435.0,885543.0,787448.0,790326.0,753360.0,758004.0,746067.0,742836.0,775068.0,739017.0,763326.0,718042.0,575813.0
NM,91495.0,101786.0,108739.0,111915.0,109081.0,114959.0,112959.0,117206.0,128538.0,133432.0,138476.0,142560.0,159294.0,158879.0,160039.0,158105.0,163095.0,164222.0,173990.0,173599.0,176352.0,193266.0,174915.0,158784.0,141950.0,163649.0,170061.0,177792.0,192216.0,205982.0,230438.0,225511.0,211705.0,223530.0,213109.0,195058.0,186613.0,233533.0,230985.0,230756.0,226271.0,229939.0,225549.0,218329.0,225728.0,219163.0,226922.0,217687.0,201513.0,197860.0,195765.0,201365.0,201835.0,202881.0,209235.0,212090.0,207783.0,221650.0,228960.0,233008.0,218173.0
NV,42128.0,46495.0,52523.0,55192.0,59623.0,55891.0,56519.0,60568.0,70357.0,72607.0,73099.0,75199.0,81261.0,88446.0,87395.0,92134.0,96458.0,102370.0,113267.0,113529.0,116207.0,114936.0,113046.0,115444.0,110017.0,111173.0,115443.0,126816.0,131203.0,132861.0,132736.0,138198.0,141152.0,146016.0,154154.0,161155.0,178132.0,177800.0,183785.0,196380.0,204781.0,205062.0,208486.0,214567.0,228042.0,238011.0,253265.0,256014.0,231392.0,210168.0,253273.0,248880.0,248407.0,253336.0,253560.0,257104.0,268062.0,277965.0,278526.0,278565.0,226405.0
NY,802177.0,820831.0,817509.0,837512.0,859258.0,884555.0,930721.0,982928.0,1017671.0,1076023.0,1099019.0,1136017.0,1133198.0,1185048.0,1069501.0,1049817.0,1108583.0,1094924.0,1102679.0,1088838.0,1027299.0,961488.0,862622.0,789318.0,724758.0,845257.0,861713.0,909932.0,869081.0,875391.0,929238.0,903756.0,881198.0,895308.0,883923.0,911249.0,952834.0,952014.0,959501.0,967022.0,971292.0,968183.0,990141.0,1058979.0,1102770.0,1068316.0,1091444.0,1089875.0,1087426.0,1063286.0,1211827.0,1140281.0,1112200.0,1125452.0,1188134.0,1163029.0,1207136.0,1217063.0,1227499.0,1196904.0,909318.0
OH,485493.0,476797.0,501851.0,512757.0,532759.0,547122.0,576526.0,589622.0,627103.0,652900.0,673840.0,690829.0,745120.0,775901.0,752314.0,762081.0,799419.0,815838.0,837782.0,814962.0,787398.0,763821.0,735877.0,738033.0,749609.0,758279.0,785434.0,811202.0,818503.0,824533.0,803352.0,794158.0,787556.0,823223.0,838461.0,852980.0,884393.0,914038.0,930745.0,958102.0,984883.0,977991.0,984705.0,992414.0,1014206.0,1012499.0,1021249.0,1028494.0,983238.0,923412.0,895326.0,883521.0,856484.0,871591.0,891916.0,893051.0,888624.0,896860.0,902460.0,896256.0,815493.0
OK,150704.0,156466.0,164839.0,173978.0,177495.0,181452.0,191749.0,199061.0,215738.0,221482.0,241452.0,247329.0,262416.0,272534.0,269250.0,278451.0,298112.0,312494.0,320848.0,318780.0,308459.0,330085.0,350617.0,345022.0,345747.0,340783.0,324441.0,331045.0,337054.0,356262.0,340214.0,348184.0,374952.0,363564.0,376090.0,359989.0,381541.0,375036.0,382455.0,400473.0,425637.0,465135.0,435153.0,444999.0,412086.0,438257.0,449700.0,459438.0,462022.0,442492.0,454408.0,443581.0,445881.0,443389.0,480223.0,470025.0,470255.0,478878.0,488287.0,475649.0,426156.0
OR,111092.0,115567.0,119261.0,122235.0,126944.0,133578.0,146168.0,151597.0,171929.0,175449.0,182682.0,191250.0,206121.0,219989.0,210357.0,213818.0,226422.0,241437.0,264161.0,271247.0,239648.0,249758.0,250383.0,236388.0,231840.0,241257.0,246074.0,263025.0,281176.0,284161.0,280250.0,301182.0,304262.0,292806.0,301285.0,297074.0,308018.0,310825.0,326162.0,329116.0,320068.0,306299.0,312439.0,310257.0,321816.0,330136.0,338005.0,344006.0,323661.0,325708.0,317594.0,302641.0,298048.0,300305.0,303197.0,298918.0,300334.0,308389.0,317316.0,311789.0,279024.0
PA,536168.0,515926.0,531989.0,554444.0,566324.0,571422.0,593192.0,628075.0,677980.0,688323.0,718209.0,746709.0,799257.0,813335.0,782659.0,769383.0,838237.0,857195.0,866872.0,850573.0,817752.0,776148.0,729931.0,741976.0,758211.0,763291.0,793230.0,839104.0,870488.0,819936.0,842565.0,840036.0,856858.0,877822.0,886387.0,901564.0,896275.0,933764.0,956955.0,967891.0,998682.0,995681.0,999738.0,987990.0,1016450.0,1033737.0,1028918.0,1023385.0,973093.0,963206.0,958300.0,955611.0,939510.0,939035.0,938104.0,915905.0,901787.0,910340.0,909096.0,920976.0,784366.0
RI,61311.0,53281.0,52092.0,53405.0,49676.0,53889.0,56047.0,63794.0,59019.0,58304.0,63334.0,67447.0,65334.0,60210.0,58376.0,56998.0,55344.0,55427.0,54546.0,54400.0,52167.0,51201.0,50621.0,50925.0,54087.0,50730.0,56422.0,60804.0,61893.0,60866.0,57830.0,57997.0,56859.0,57039.0,56070.0,57906.0,58610.0,64938.0,62809.0,65366.0,65131.0,65690.0,65010.0,63894.0,62104.0,62115.0,64661.0,63767.0,60496.0,62361.0,62535.0,59423.0,56575.0,56996.0,60998.0,60630.0,56859.0,57828.0,59923.0,59257.0,50370.0
SC,126208.0,129567.0,142484.0,151254.0,145094.0,147298.0,157498.0,159278.0,179569.0,185719.0,198589.0,207758.0,217321.0,234328.0,229943.0,229440.0,245155.0,253229.0,265931.0,263808.0,248132.0,246357.0,246668.0,252018.0,263410.0,265569.0,274879.0,271519.0,298884.0,289639.0,308567.0,318063.0,306881.0,311468.0,317872.0,318370.0,325962.0,340229.0,359539.0,370957.0,378736.0,382124.0,390050.0,393778.0,447812.0,426716.0,445720.0,443626.0,433734.0,444790.0,458783.0,450668.0,436841.0,453369.0,445499.0,467806.0,481900.0,489986.0,489002.0,482235.0,432586.0
SD,41074.0,43017.0,45861.0,47646.0,46663.0,45202.0,47210.0,47932.0,51664.0,51576.0,53555.0,58358.0,61204.0,61434.0,60379.0,62018.0,65702.0,68191.0,69568.0,70279.0,63204.0,60032.0,61601.0,59941.0,61918.0,65547.0,60615.0,62356.0,64623.0,64771.0,65961.0,64087.0,72993.0,73241.0,78214.0,79805.0,79338.0,77445.0,79996.0,83197.0,84690.0,83083.0,90621.0,85133.0,86438.0,88269.0,88259.0,92108.0,87283.0,89562.0,94193.0,94097.0,98572.0,96122.0,99010.0,101309.0,100607.0,99888.0,101028.0,100050.0,97210.0
TN,174077.0,189698.0,201900.0,215915.0,221891.0,230861.0,248978.0,257828.0,277502.0,296060.0,308383.0,325418.0,355659.0,388248.0,380946.0,390255.0,406098.0,418416.0,443273.0,450307.0,408896.0,408735.0,398310.0,396071.0,426527.0,434200.0,465660.0,458225.0,466234.0,477732.0,466321.0,440683.0,460344.0,485213.0,499428.0,523840.0,541591.0,546093.0,556279.0,574005.0,583021.0,579918.0,613320.0,629708.0,630262.0,645189.0,648771.0,651803.0,611820.0,595903.0,616465.0,613747.0,593905.0,598357.0,612677.0,620725.0,633526.0,639307.0,647130.0,666834.0,614701.0
TX,797674.0,814156.0,835629.0,860535.0,888456.0,919609.0,950843.0,1002771.0,1096279.0,1159513.0,1212068.0,1258232.0,1360829.0,1486367.0,1509541.0,1562028.0,1614344.0,1728153.0,1826422.0,1880719.0,1802055.0,1826225.0,1883216.0,1880769.0,1960057.0,2027528.0,2073455.0,2032666.0,2146110.0,2150031.0,2155244.0,2103266.0,2149543.0,2135807.0,2196665.0,2165210.0,2338876.0,2402608.0,2524138.0,2509765.0,2563155.0,2674517.0,2768701.0,2669830.0,2698065.0,2722996.0,2855206.0,2885470.0,2801447.0,2690610.0,2664227.0,2687709.0,2697204.0,2954300.0,2938283.0,2993707.0,3087844.0,3116638.0,3228409.0,3340863.0,2840211.0
UT,64511.0,60626.0,65915.0,66515.0,66941.0,70642.0,78749.0,77711.0,83491.0,87960.0,91544.0,98351.0,103196.0,109665.0,112423.0,113847.0,116248.0,121394.0,130166.0,131650.0,126763.0,122808.0,121883.0,126099.0,128479.0,132132.0,141909.0,146203.0,151122.0,143100.0,148687.0,154513.0,157455.0,163603.0,166811.0,181276.0,189839.0,197637.0,202063.0,209020.0,220791.0,212268.0,219787.0,223916.0,232666.0,236793.0,260512.0,259900.0,240230.0,231558.0,226168.0,242330.0,235022.0,239797.0,242185.0,249949.0,255272.0,259519.0,275809.0,272201.0,252662.0
VA,290155.0,271498.0,279501.0,294215.0,309745.0,332226.0,349062.0,376536.0,389886.0,421502.0,446103.0,469468.0,484381.0,499236.0,474824.0,467402.0,489360.0,501276.0,513382.0,502950.0,481837.0,483877.0,466129.0,476856.0,482494.0,502788.0,531531.0,568798.0,600423.0,577259.0,583597.0,569499.0,565627.0,574960.0,586939.0,596493.0,605212.0,623602.0,633812.0,646527.0,682827.0,684004.0,688160.0,715501.0,769960.0,781592.0,804438.0,806073.0,748863.0,727672.0,765908.0,736419.0,742154.0,743535.0,768275.0,763026.0,786900.0,794365.0,810219.0,822018.0,692648.0
VT,19285.0,18903.0,19451.0,19720.0,20186.0,21156.0,22648.0,24252.0,25602.0,26604.0,29255.0,30302.0,32532.0,33907.0,33188.0,33366.0,35461.0,37970.0,38017.0,36867.0,33912.0,34053.0,31745.0,34097.0,36467.0,36959.0,37654.0,42609.0,44201.0,42008.0,42074.0,42481.0,44946.0,47312.0,47859.0,49731.0,51665.0,50799.0,50106.0,52481.0,51827.0,51851.0,51047.0,51874.0,53305.0,54018.0,54227.0,53319.0,50595.0,52091.0,50224.0,48972.0,47891.0,48654.0,48242.0,48643.0,48998.0,47752.0,44602.0,46309.0,39003.0
WA,180038.0,184221.0,191597.0,193702.0,200152.0,206180.0,224455.0,248016.0,282703.0,290040.0,291220.0,298120.0,302952.0,329185.0,329110.0,351939.0,367996.0,378496.0,406593.0,437458.0,416128.0,405573.0,379973.0,366349.0,392840.0,414170.0,482626.0,497334.0,520178.0,561297.0,570959.0,579683.0,646082.0,592511.0,609445.0,633489.0,622542.0,638511.0,603397.0,614736.0,626425.0,599324.0,583866.0,585232.0,604092.0,612870.0,628978.0,667346.0,607175.0,597417.0,555428.0,570277.0,571883.0,585103.0,572869.0,611895.0,680677.0,656410.0,656582.0,676682.0,504756.0
WI,179925.0,178398.0,186286.0,193358.0,198182.0,202452.0,215119.0,222717.0,238768.0,254799.0,271267.0,283044.0,300747.0,313343.0,311658.0,318552.0,332023.0,343009.0,360252.0,354661.0,328937.0,320729.0,303312.0,305153.0,304796.0,311118.0,317003.0,319153.0,341123.0,343688.0,341152.0,340589.0,346888.0,356002.0,379489.0,387380.0,395039.0,397553.0,416933.0,427108.0,419128.0,420917.0,426136.0,419988.0,436795.0,435873.0,439632.0,442434.0,432246.0,421735.0,434754.0,420084.0,418942.0,415923.0,445715.0,440556.0,437653.0,431411.0,457182.0,452212.0,404102.0
WV,84624.0,79495.0,80104.0,86105.0,89808.0,97881.0,101521.0,101783.0,108551.0,93096.0,108454.0,116907.0,126479.0,138959.0,135849.0,139406.0,142708.0,151070.0,154215.0,152872.0,146605.0,143411.0,137495.0,147345.0,156917.0,155590.0,139565.0,145124.0,149467.0,150231.0,146864.0,144778.0,159657.0,165632.0,177018.0,177819.0,162736.0,176591.0,184117.0,179513.0,185760.0,182823.0,182001.0,170239.0,179107.0,180393.0,179262.0,177411.0,160262.0,166940.0,171528.0,165734.0,174626.0,169268.0,169922.0,173675.0,182534.0,171993.0,192666.0,185399.0,169994.0
WY,41322.0,40098.0,43961.0,40499.0,39029.0,44301.0,44954.0,54471.0,54341.0,57799.0,57405.0,61918.0,61663.0,67768.0,69252.0,66067.0,71190.0,75273.0,85116.0,87482.0,88441.0,88739.0,79562.0,67063.0,68415.0,68801.0,63799.0,77408.0,83531.0,84494.0,81244.0,75947.0,79985.0,84504.0,83152.0,95893.0,95955.0,97960.0,101099.0,115332.0,108883.0,110784.0,109864.0,121106.0,115100.0,119090.0,122430.0,125829.0,123844.0,119933.0,121369.0,112145.0,117677.0,113399.0,117706.0,111440.0,112574.0,112467.0,115892.0,116149.0,107045.0
US,10596612.0,10769305.0,11219665.0,11655060.0,11998948.0,12434010.0,13100740.0,13751510.0,14864713.0,15504735.0,16094212.0,16725986.0,17716191.0,18615342.0,18119371.0,18245049.0,19101169.0,19822842.0,20619378.0,20472501.0,19696846.0,19515225.0,19090937.0,19176442.0,19655350.0,20089174.0,20790496.0,21471276.0,22319319.0,22478541.0,22423888.0,22120398.0,22418616.0,22676130.0,23322784.0,23818771.0,24425354.0,24735893.0,25229069.0,25920574.0,26521400.0,26241290.0,26812641.0,26889268.0,27836540.0,28271919.0,28711295.0,28831005.0,27443620.0,26616078.0,26988792.0,26597288.0,26125275.0,26613512.0,26873295.0,27244957.0,27792276.0,28022196.0,28470753.0,28589691.0,24349079.0
